Cle,CoApplicantName-NomCoApplicant,CoAppOrganizationID,CoAppInstitution-…tablissement,ProvinceEN,ProvinceFR,CountryEN,CountryFR,FiscalYear-Exercice financier
483926,"Gay, Colin",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483926,"Benslama, Kamal",17,University of Regina,Saskatchewan,Saskatchewan,CANADA,CANADA,2011
476344,"Benslama, Kamal",17,University of Regina,Saskatchewan,Saskatchewan,CANADA,CANADA,2011
483103,"Benslama, Kamal",17,University of Regina,Saskatchewan,Saskatchewan,CANADA,CANADA,2011
483926,"Trigger, Isabel",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483926,"Vetterli, Michel",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483926,"Oakham, Frank",23,Carleton University,Ontario,Ontario,CANADA,CANADA,2011
483926,"Taylor, Wendy",38,York University,Ontario,Ontario,CANADA,CANADA,2011
476344,"Albert, Justin",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Trigger, Isabel",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Vetterli, Michel",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Azuelos, Georges",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Keeler, Richard",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Bailey, David",40,Institute of Particle Physics,Ontario,Ontario,CANADA,CANADA,2011
476344,"Astbury, Alan",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Couture, Gilles",57,UniversitÈ du QuÈbec ‡ MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
476344,"Bellerive, Alain",23,Carleton University,Ontario,Ontario,CANADA,CANADA,2011
476344,"Kowalewski, Robert",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"O'Neil, Dugan",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Tafirout, Reda",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Canepa, Anadi",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Stelzer, Bernd",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Sobie, Randall",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Stelzer-Chilton, Oliver",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Lefebvre, Michel",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Taylor, Wendy",38,York University,Ontario,Ontario,CANADA,CANADA,2011
476344,"Vincter, Manuella",23,Carleton University,Ontario,Ontario,CANADA,CANADA,2011
476344,"Oakham, Frank",23,Carleton University,Ontario,Ontario,CANADA,CANADA,2011
476344,"Oram, Christopher",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Asner, David",23,Carleton University,Ontario,Ontario,CANADA,CANADA,2011
483103,"Azuelos, Georges",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Trigger, Isabel",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Stelzer-Chilton, Oliver",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Keeler, Richard",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Tafirout, Reda",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Sobie, Randall",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Lefebvre, Michel",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Couture, Gilles",57,UniversitÈ du QuÈbec ‡ MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
483103,"Asner, David",23,Carleton University,Ontario,Ontario,CANADA,CANADA,2011
483103,"Oram, Christopher",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Oakham, Frank",23,Carleton University,Ontario,Ontario,CANADA,CANADA,2011
483103,"O'Neil, Dugan",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Bellerive, Alain",23,Carleton University,Ontario,Ontario,CANADA,CANADA,2011
483103,"Taylor, Wendy",38,York University,Ontario,Ontario,CANADA,CANADA,2011
483103,"Canepa, Anadi",8,TRIUMF,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Kowalewski, Robert",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Vincter, Manuella",23,Carleton University,Ontario,Ontario,CANADA,CANADA,2011
483103,"Stelzer, Bernd",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Albert, Justin",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Astbury, Alan",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Vetterli, Michel",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
487447,"Bocher, Philippe",53,…cole de technologie supÈrieure,QuÈbec,QuÈbec,CANADA,CANADA,2011
487447,"Dolatabadi, Ali",70,Concordia University,QuÈbec,QuÈbec,CANADA,CANADA,2011
487447,"Klemberg-Sapieha, Jolanta",64,…cole Polytechnique de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
495942,"Stone, Sophia",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
495942,"White, Mary Anne",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
495942,"Weaver, Donald",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
495942,"Simpson, Alastair",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
495942,"Macrae, Thomas",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
495942,"Hall, Brian",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
495942,"Hoskin, David",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
495942,"Kreplak, Laurent",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
495942,"Gunawardena, Arunika",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
495942,"Scott, David",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
495942,"Fedortchouk, Yana",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
487913,"Gerlich, Adrian",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
487707,"Boyd, Lara",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
487707,"Garland, Jayne",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
491537,"Kaminska, Bozena",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
494819,"Vaughan, Rodney",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
480893,"Clague, John",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
495773,"Harrington, David",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
495773,"Ko, Frank",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
495773,"Wilkinson, David",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
495843,"Dawson, John",24,University of Guelph,Ontario,Ontario,CANADA,CANADA,2011
495843,"Harauz, George",24,University of Guelph,Ontario,Ontario,CANADA,CANADA,2011
495843,"Sharom, Frances",24,University of Guelph,Ontario,Ontario,CANADA,CANADA,2011
487675,"Peng, Changhui",57,UniversitÈ du QuÈbec ‡ MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
487675,"Anand, Madhur",24,University of Guelph,Ontario,Ontario,CANADA,CANADA,2011
487675,"Gravel, Dominique",58,UniversitÈ du QuÈbec ‡ Rimouski,QuÈbec,QuÈbec,CANADA,CANADA,2011
490708,"Gravel, Dominique",58,UniversitÈ du QuÈbec ‡ Rimouski,QuÈbec,QuÈbec,CANADA,CANADA,2011
490708,"Kneeshaw, Daniel",57,UniversitÈ du QuÈbec ‡ MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
490708,"Munson, Alison Dale",51,UniversitÈ Laval,QuÈbec,QuÈbec,CANADA,CANADA,2011
487675,"Raulier, FrÈdÈric",51,UniversitÈ Laval,QuÈbec,QuÈbec,CANADA,CANADA,2011
487675,"Cumming, Steven",51,UniversitÈ Laval,QuÈbec,QuÈbec,CANADA,CANADA,2011
490708,"Shipley, Bill (John William)",68,UniversitÈ de Sherbrooke,QuÈbec,QuÈbec,CANADA,CANADA,2011
487675,"Lechowicz, Martin",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
487675,"Shipley, Bill (John William)",68,UniversitÈ de Sherbrooke,QuÈbec,QuÈbec,CANADA,CANADA,2011
487675,"Bergeron, Yves",47,UniversitÈ du QuÈbec en Abitibi-TÈmiscamingue,QuÈbec,QuÈbec,CANADA,CANADA,2011
487675,"Fortin, Marie-JosÈe",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
487675,"Parrott, Lael",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
491472,"Xenopoulos, Marguerite",32,Trent University,Ontario,Ontario,CANADA,CANADA,2011
491472,"Frost, Paul",32,Trent University,Ontario,Ontario,CANADA,CANADA,2011
491472,"Hintelmann, Holger",32,Trent University,Ontario,Ontario,CANADA,CANADA,2011
491472,"Paterson, Michael",19,University of Manitoba,Manitoba,Manitoba,CANADA,CANADA,2011
490606,"Chan, Warren",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
490606,"Trifiro, Mark",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
484948,"Sladek, Robert",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
484948,"Grutter, Peter",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
484948,"Guo, Hong",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
484855,"Chen, Zhi",70,Concordia University,QuÈbec,QuÈbec,CANADA,CANADA,2011
484888,"Guo, Hong",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
484888,"Shih, Ishiang",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
491548,"Guo, Hong",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
491548,"Botton, Gianluigi",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2011
491548,"Shih, Ishiang",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
491454,"Sun, Xueliang",36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2011
491454,"Guo, Hong",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
483433,"Praud, Jean-Paul",68,UniversitÈ de Sherbrooke,QuÈbec,QuÈbec,CANADA,CANADA,2011
483433,"Walti, HervÈ",68,UniversitÈ de Sherbrooke,QuÈbec,QuÈbec,CANADA,CANADA,2011
483427,"Boutilier, Craig",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
483427,"Mcilroy, William",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2011
491512,"Sinclair, Chadwick",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
491512,"Rottler, Joerg",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
491512,"Hoyt, Jeff",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
491512,"Provatas, Nikolas",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2011
491512,"Zurob, Hatem",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2011
483184,"Poole, Warren",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483432,"Alman, Benjamin",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
482586,"Mylopoulos, John",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
482586,"Yu, Eric",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
482586,"÷zsu, Tamer",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2011
482586,"Consens, Mariano",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
482586,"Tompa, Frank",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2011
482586,"Topaloglou, Thodoros",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
482586,"Milios, Evangelos",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2011
482586,"Barbosa, Denilson",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
482586,"Pottinger, Rachel",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
482586,"Ng, Raymond",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
482586,"Lakshmanan, Laks",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
482586,"Kiringa, Iluju",28,University of Ottawa,Ontario,Ontario,CANADA,CANADA,2011
