"ID","MK-ID","community","count","inCore","info","betweenness"
"Wong Cy, 2013, SCIENTOMETRICS","WOS:000320401500021",6,3,True,"WOS:000320401500021, Wong Chan-Yuan, On a path to creative destruction: science technology and science-based technological trajectories of Japan and South Korea, SCIENTOMETRICS, 96, 323",0.006
"Fang Jq, 2010, J AM SOC INF SCI TEC","WOS:000277892600017",7,1,True,"WOS:000277892600017, Fang Jin-Qing, Network Science-Theory and Application, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61, 1297",0.0
"Campanario Jm, 2011, J AM SOC INF SCI TEC","WOS:000286687300002",2,6,True,"WOS:000286687300002, Miguel Campanario Juan, Large Increases and Decreases in Journal Impact Factors in Only One Year: The Effect of Journal Self-Citations, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62, 230",0.0
"Rokach L, 2011, J AM SOC INF SCI TEC","WOS:000297303100014",11,2,True,"WOS:000297303100014, Rokach Lior, Who Is Going to Win the Next Association for the Advancement of Artificial Intelligence Fellowship Award? Evaluating Researchers by Mining Bibliographic Data, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62, 2456",0.0
"Joo Sh, 2010, SCIENTOMETRICS","WOS:000276499500008",3,3,True,"WOS:000276499500008, Joo Si Hyung, Measuring relatedness between technological fields, SCIENTOMETRICS, 83, 435",0.0
"Bensman Sj, 2010, J AM SOC INF SCI TEC","WOS:000279151600010",2,7,True,"WOS:000279151600010, Bensman Stephen J., Mean Citation Rate per Article in Mathematics Journals: Differences From the Scientific Model, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61, 1440",0.0
"Zhang Gf, 2010, SCIENTOMETRICS","WOS:000276499500012",5,6,True,"WOS:000276499500012, Zhang Gangfeng, A bibliometric analysis of world volatile organic compounds research trends, SCIENTOMETRICS, 83, 477",0.003
"Lariviere V, 2011, J INFORMETR","WOS:000291032500007",4,8,True,"WOS:000291032500007, Lariviere Vincent, Averages of ratios vs. ratios of averages: An empirical analysis of four levels of aggregation, JOURNAL OF INFORMETRICS, 5, 392",0.0
"Schreiber M, 2013, J AM SOC INF SCI TEC","WOS:000323377600015",1,6,True,"WOS:000323377600015, Schreiber Michael, Inconsistencies in the highly cited publications indicator, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 64, 1298",0.0
"Lepori B, 2013, J INFORMETR","WOS:000323859700006",8,2,True,"WOS:000323859700006, Lepori Benedetto, Core-periphery structures in national higher education systems. A cross-country analysis using interlinking data, JOURNAL OF INFORMETRICS, 7, 622",0.0
